fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,symbol
3/31/2023,5/4/2023,1.52,1.43,0.09,6.2937,AAPL
12/31/2022,2/2/2023,1.88,1.94,-0.06,-3.0928,AAPL
9/30/2022,10/27/2022,1.29,1.27,0.02,1.5748,AAPL
6/30/2022,7/28/2022,1.2,1.16,0.04,3.4483,AAPL
3/31/2022,4/28/2022,1.52,1.43,0.09,6.2937,AAPL
12/31/2021,1/27/2022,2.1,1.89,0.21,11.1111,AAPL
9/30/2021,10/28/2021,1.24,1.24,0,0,AAPL
6/30/2021,7/27/2021,1.3,1.01,0.29,28.7129,AAPL
3/31/2021,4/28/2021,1.4,0.99,0.41,41.4141,AAPL
12/31/2020,1/27/2021,1.68,1.41,0.27,19.1489,AAPL
9/30/2020,10/29/2020,0.73,0.7,0.03,4.2857,AAPL
6/30/2020,7/30/2020,0.65,0.51,0.14,27.451,AAPL
3/31/2020,4/30/2020,0.64,0.56,0.08,14.2857,AAPL
12/31/2019,1/28/2020,1.25,1.14,0.11,9.6491,AAPL
9/30/2019,10/30/2019,0.76,0.71,0.05,7.0423,AAPL
6/30/2019,7/30/2019,0.55,0.53,0.02,3.7736,AAPL
3/31/2019,4/30/2019,0.62,0.59,0.03,5.0847,AAPL
12/31/2018,1/29/2019,1.05,1.04,0.01,0.9615,AAPL
9/30/2018,11/1/2018,0.73,0.7,0.03,4.2857,AAPL
6/30/2018,7/31/2018,0.585,0.545,0.04,7.3394,AAPL
3/31/2018,5/1/2018,0.6825,0.6725,0.01,1.487,AAPL
12/31/2017,2/1/2018,0.9725,0.965,0.0075,0.7772,AAPL
9/30/2017,11/2/2017,0.5175,0.4675,0.05,10.6952,AAPL
6/30/2017,8/1/2017,0.4175,0.3925,0.025,6.3694,AAPL
3/31/2017,5/2/2017,0.525,0.505,0.02,3.9604,AAPL
12/31/2016,1/31/2017,0.84,0.8025,0.0375,4.6729,AAPL
9/30/2016,10/25/2016,0.4175,0.415,0.0025,0.6024,AAPL
6/30/2016,7/26/2016,0.355,0.345,0.01,2.8986,AAPL
3/31/2016,4/26/2016,0.475,0.5,-0.025,-5,AAPL
12/31/2015,1/26/2016,0.82,0.8075,0.0125,1.548,AAPL
9/30/2015,10/27/2015,0.49,0.47,0.02,4.2553,AAPL
6/30/2015,7/21/2015,0.4625,0.4525,0.01,2.2099,AAPL
3/31/2015,4/27/2015,0.5825,0.54,0.0425,7.8704,AAPL
12/31/2014,1/27/2015,0.765,0.65,0.115,17.6923,AAPL
9/30/2014,10/20/2014,0.355,0.3275,0.0275,8.3969,AAPL
6/30/2014,7/22/2014,0.32,0.3075,0.0125,4.065,AAPL
3/31/2014,4/23/2014,0.415,0.365,0.05,13.6986,AAPL
12/31/2013,1/27/2014,0.5175,0.5025,0.015,2.9851,AAPL
9/30/2013,10/28/2013,0.295,0.285,0.01,3.5088,AAPL
6/30/2013,7/23/2013,0.2675,0.2625,0.005,1.9048,AAPL
3/31/2013,4/23/2013,0.36,0.3575,0.0025,0.6993,AAPL
12/31/2012,1/23/2013,0.4925,0.48,0.0125,2.6042,AAPL
9/30/2012,10/25/2012,0.31,0.3125,-0.0025,-0.8,AAPL
6/30/2012,7/24/2012,0.3325,0.37,-0.0375,-10.1351,AAPL
3/31/2012,4/24/2012,0.44,0.3575,0.0825,23.0769,AAPL
12/31/2011,1/24/2012,0.495,0.3625,0.1325,36.5517,AAPL
9/30/2011,10/18/2011,0.2525,0.265,-0.0125,-4.717,AAPL
6/30/2011,7/19/2011,0.2775,0.2075,0.07,33.7349,AAPL
3/31/2011,4/20/2011,0.2275,0.1925,0.035,18.1818,AAPL
12/31/2010,1/18/2011,0.23,0.1925,0.0375,19.4805,AAPL
9/30/2010,10/18/2010,0.165,0.145,0.02,13.7931,AAPL
6/30/2010,7/20/2010,0.125,0.11,0.015,13.6364,AAPL
3/31/2010,4/20/2010,0.12,0.0875,0.0325,37.1429,AAPL
12/31/2009,1/25/2010,0.13,0.075,0.055,73.3333,AAPL
9/30/2009,10/19/2009,0.065,0.05,0.015,30,AAPL
6/30/2009,7/21/2009,0.0475,0.0425,0.005,11.7647,AAPL
3/31/2009,4/22/2009,0.0475,0.04,0.0075,18.75,AAPL
12/31/2008,1/21/2009,0.0625,0.05,0.0125,25,AAPL
9/30/2008,10/21/2008,0.045,0.04,0.005,12.5,AAPL
6/30/2008,7/21/2008,0.0425,0.0375,0.005,13.3333,AAPL
3/31/2008,4/23/2008,0.0425,0.0375,0.005,13.3333,AAPL
12/31/2007,1/22/2008,0.06,0.06,0,0,AAPL
9/30/2007,10/22/2007,0.04,0.03,0.01,33.3333,AAPL
6/30/2007,7/25/2007,0.03,0.03,0,0,AAPL
3/31/2007,4/25/2007,0.03,0.02,0.01,50,AAPL
12/31/2006,1/17/2007,0.04,0.03,0.01,33.3333,AAPL
9/30/2006,10/18/2006,0.02,0.02,0,0,AAPL
6/30/2006,7/19/2006,0.02,0.02,0,0,AAPL
3/31/2006,4/19/2006,0.02,0.02,0,0,AAPL
12/31/2005,1/18/2006,0.02,0.02,0,0,AAPL
9/30/2005,10/11/2005,0.01,0.01,0,0,AAPL
6/30/2005,7/13/2005,0.01,0.01,0,0,AAPL
3/31/2005,4/13/2005,0.01,0.01,0,0,AAPL
12/31/2004,1/12/2005,0.01,0.01,0,0,AAPL
9/30/2004,10/13/2004,0.02,0.01,0.01,100,AAPL
6/30/2004,7/14/2004,0.01,0.01,0,0,AAPL
3/31/2004,4/14/2004,0.01,0.01,0,0,AAPL
12/31/2003,1/14/2004,0.01,0.01,0,0,AAPL
9/30/2003,10/15/2003,0.01,0,0,0,AAPL
6/30/2003,7/16/2003,0.0009,0,0,0,AAPL
3/31/2003,4/16/2003,0.0007,0,0,0,AAPL
12/31/2002,1/15/2003,-0.0004,0,0,0,AAPL
9/30/2002,10/16/2002,-0.0022,0,0,0,AAPL
6/30/2002,7/16/2002,0.01,0.01,0,0,AAPL
3/31/2002,4/18/2002,0.002,0,0,0,AAPL
12/31/2001,1/16/2002,0.01,0.01,0,0,AAPL
9/30/2001,10/18/2001,0.0034,0,0,0,AAPL
6/30/2001,7/18/2001,0.003,0,0,0,AAPL
3/31/2001,4/18/2001,0.01,0,0,0,AAPL
12/31/2000,12/31/2000,-0.0097,0,0,0,AAPL
9/30/2000,10/18/2000,0.01,0.01,0,0,AAPL
6/30/2000,7/18/2000,0.01,0.01,0,0,AAPL
3/31/2000,4/19/2000,0.01,0.01,0,0,AAPL
12/31/1999,1/19/2000,0.01,0.01,0,0,AAPL
9/30/1999,10/13/1999,0.02,0.02,0,0,AAPL
6/30/1999,7/14/1999,0.01,0.01,0,0,AAPL
3/31/1999,4/14/1999,0.01,0.01,0,0,AAPL
12/31/1998,1/13/1999,0.01,0.01,0,0,AAPL
9/30/1998,10/14/1998,0.01,0.02,-0.01,-50,AAPL
6/30/1998,7/15/1998,0.01,0.01,0,0,AAPL
3/31/1998,4/15/1998,0.01,0.01,0,0,AAPL
12/31/1997,1/14/1998,0.01,0.01,0,0,AAPL
9/30/1997,10/15/1997,-0.0114,0,0,0,AAPL
6/30/1997,7/16/1997,-0.02,-0.02,0,0,AAPL
3/31/1997,4/16/1997,-0.05,-0.04,-0.01,-25,AAPL
12/31/1996,1/15/1997,-0.03,-0.02,-0.01,-50,AAPL
9/30/1996,10/16/1996,0.0018,-0.01,0.0118,118,AAPL
6/30/1996,7/17/1996,-0.02,-0.04,0.02,50,AAPL
3/31/1996,4/17/1996,-0.07,-0.05,-0.02,-40,AAPL
3/31/2023,4/25/2023,2.45,2.23,0.22,9.8655,MSFT
12/31/2022,1/24/2023,2.32,2.29,0.03,1.31,MSFT
9/30/2022,10/25/2022,2.35,2.3,0.05,2.1739,MSFT
6/30/2022,7/26/2022,2.23,2.29,-0.06,-2.6201,MSFT
3/31/2022,4/26/2022,2.22,2.19,0.03,1.3699,MSFT
12/31/2021,1/25/2022,2.48,2.31,0.17,7.3593,MSFT
9/30/2021,10/26/2021,2.27,2.07,0.2,9.6618,MSFT
