Symbol	AssetType	Name	Description	CIK	Exchange	Currency	Country	Sector	Industry	Address	FiscalYearEnd	LatestQuarter	MarketCapitalization	EBITDA	PERatio	PEGRatio	BookValue	DividendPerShare	DividendYield	EPS	RevenuePerShareTTM	ProfitMargin	OperatingMarginTTM	ReturnOnAssetsTTM	ReturnOnEquityTTM	RevenueTTM	GrossProfitTTM	DilutedEPSTTM	QuarterlyEarningsGrowthYOY	QuarterlyRevenueGrowthYOY	AnalystTargetPrice	TrailingPE	ForwardPE	PriceToSalesRatioTTM	PriceToBookRatio	EVToRevenue	EVToEBITDA	Beta	52WeekHigh	52WeekLow	50DayMovingAverage	200DayMovingAverage	SharesOutstanding	DividendDate	ExDividendDate	FullTimeEmployees	Note
AAPL	Common Stock	Apple Inc	Apple Inc	1	NASDAQ	USD	USA	TECHNOLOGY	ELECTRONIC COMPUTERS	ONE INFINITE LOOP US	September	3/31/2023	2750000000000.0	1.25E+11	29.42	2.75	3.178	0.0	0.0055	5.9	24.32	0.0	0.0	0.196	1.479	388000000000.0	171000000000.0	5.9	-0.105	-0.055	171.29	29.42	25.4	5.51	44.63	5.92	17.53	1.297	175.59	123.98	159.74	151.37	15821900000	2/16/2023	5/12/2023	1000	
MSFT	Common Stock	Microsoft Corporation	Microsoft	2	NASDAQ	USD	USA	TECHNOLOGY	SERVICES-PREPACKAGED SOFTWARE	ONE MICROSOFT	June	3/31/2023	2310000000000.0	1.00E+11	33.66	2.275	26.18	2.66	0.0088	9.23	27.84	0.333	0.414	0.148	0.386	208000000000.0	136000000000.0	9.23	0.104	0.071	328.71	33.66	27.03	9.14	11.05	9.21	18.55	0.93	311.97	212.3	277.99	257.33	7435490000	6/8/2023	5/17/2023	15035	
GOOG	Common Stock	Alphabet Inc Class C	Alphabet Inc	3	NASDAQ	USD	USA	TECHNOLOGY	SERVICES-COMPUTER	1600 AMPHITHEATRE	December	3/31/2023	1340000000000.0	87495999000	23.55	1.344	20.51	0.0	0.0	4.51	21.96	0.206	0.254	0.124	0.228	285000000000.0	157000000000.0	4.51	-0.047	0.026	127.22	23.55	17.83	4.179	4.864	4.057	12.16	1.1	123.26	83.45	101.77	101.06	5874000000	6/9/2023	5/18/2023	16522	
GOOGL	Common Stock	Alphabet Inc Class A	Alphabet Inc	4	NASDAQ	USD	USA	TECHNOLOGY	SERVICES-COMPUTER	1600 AMPHITHEATRE	December	3/31/2023	1340000000000.0	87495999000	23.41	1.34	20.51	0.0	0.0	4.51	21.96	0.206	0.254	0.124	0.228	285000000000.0	157000000000.0	4.51	-0.047	0.026	129.64	23.41	17.79	4.173	4.852	4.057	12.16	1.1	122.43	83.34	101.22	100.47	5941000000	6/10/2023	5/19/2023	3658	
AMZN	Common Stock	Amazon.com Inc	Amazon	5	NASDAQ	USD	USA	TRADE & SERVICES	RETAIL-CATALOG & MAIL-ORDER HOUSES	410 TERRY AVENUE	December	3/31/2023	1080000000000.0	57194000000	245.71	4.953	15.06	0.0	0.0	0.43	51.42	0.0082	0.0254	0.0191	0.0298	525000000000.0	225000000000.0	0.43	-0.986	0.094	134.24	245.71	43.86	1.797	6.61	1.948	19.3	1.263	146.57	81.43	99.69	106.53	10260400000	6/11/2023	5/20/2023	9853	
XOM	Common Stock	Exxon Mobil Corp	Exxon Mobil 	6	NYSE	USD	USA	ENERGY & TRANSPORTATION	PETROLEUM REFINING	5959 LAS COLINAS BLV	December	3/31/2023	439000000000.0	94863999000	7.36	1.689	49.14	3.58	0.0335	14.77	95.8	0.155	0.193	0.133	0.333	398000000000.0	134000000000.0	14.77	1.18	-0.043	128.74	7.36	9.08	1.115	2.268	1.203	5.32	1.074	119.92	78.65	110.99	105.45	4043000000	6/9/2023	5/15/2023	5624	
TSM	Common Stock	Taiwan Semiconductor Manufacturing	Taiwan Semiconductor	7	NYSE	USD	USA	MANUFACTURING	SEMICONDUCTORS RELATED DEVICES	NO. 8 LI-HSIN ROAD 6	December	3/31/2023	441000000000.0	1.56E+12	13.62	0.844	71.0	8.25	0.021	6.24	54.99	0.447	0.495	0.161	37.86	2280000000000.0	1350000000000.0	6.24	0.021	0.036	102.98	13.62	13.59	0.192	4.655	0.185	0.266	1.241	98.59	58.93	88.36	82.17	5186080000	7/13/2023	6/15/2023	8796	
NVDA	Common Stock	NVIDIA Corporation	Nvidia Corporation	8	NASDAQ	USD	USA	MANUFACTURING	SEMICONDUCTORS RELATED DEVICES	2701 SAN TOMAS EXPRE	January	1/31/2023	708000000000.0	7121000000	163.89	4.041	8.96	0.16	0.0006	1.75	10.85	0.162	0.207	0.0817	0.179	26973999000.0	15356000000.0	1.75	-0.514	-0.208	288.05	163.89	39.53	14.79	19.59	14.59	56	1.77	290.58	108.08	260.89	186.54	2470000000	3/29/2023	3/7/2023	12358	
META	Common Stock	Meta Platforms Inc.	Meta Platforms Inc	9	NASDAQ	USD	USA	TECHNOLOGY	SERVICES-COMPUTER	1601 WILLOW ROAD	December	3/31/2023	597000000000.0	42455998000	29.69	2.635	48.63	0.0	0.0	7.84	44.24	0.183	0.285	0.12	0.173	117000000000.0	92855000000.0	7.84	-0.191	0.026	268.73	29.69	14.95	2.614	2.598	2.595	7.05	1.194	244.92	88.09	205.76	157.31	2212150000	3/30/2023	3/8/2023	5896	
JNJ	Common Stock	Johnson & Johnson	Johnson & Johnson (J&J) is an American multinational corporation founded in 1886 that develops medical devices pharmaceuticals and consumer packaged goods. Its common stock is a component of the Dow Jones Industrial Average and the company is ranked No. 36 on the 2021 Fortune 500 list of the largest United States corporations by total revenue. Johnson & Johnson is one of the world's most valuable companies and is one of only two U.S.-based companies that has a prime credit rating of AAA higher than that of the United States government.	10	NYSE	USD	USA	LIFE SCIENCES	PHARMACEUTICAL PREPARATIONS	ONE JOHNSON & JOHNSO	December	3/31/2023	423000000000.0	33101001000	18.75	3.793	27.27	4.52	0.0292	4.78	36.75	0.132	0.27	0.0869	17.48	96262996000.0	63954000000.0	4.77	-0.254	0.056	179.35	34.1	16.89	4.894	6.16	4.763	15.47	0.533	179.75	150.11	158.14	166.73	2598730000	6/6/2023	5/22/2023	1000	
